id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
28941,2012,1,2012,2012,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"Ogaden Online 5/9-12, ""Hundreds of Ethiopian soldiers died in fierce battles across Ogaden"" at http://www.ogaden.com/hornnews/ogaden/1493-hundreds-of-ethiopian-soldiers-died-in-fierce-battles-across-ogaden.html",,,,ONLF,2,Segag town,Somali state,Fiq zone,7.666667,42.83333,POINT (42.833330 7.666667),140846,Ethiopia,530,ETH,Africa,1,2,2012-08-29,2012-08-30,0,0,0,0,0,0,7
34671,2009,1,2009,2009,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 20/2-09, ""Ethiopian rebel group claims killing 140 government forces in southeast""; Ogaden National Liberation Front website, in English 20 Feb 09",,,,ONLF,2,Degehabur town,Somali state,Degehabur zone,8.220556,43.557222,POINT (43.557222 8.220556),141568,Ethiopia,530,ETH,Africa,1,2,2009-02-16,2009-02-20,0,15,0,0,15,15,84
34631,2009,1,2009,2009,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"All Africa 7/3-09, ""Fighting Kills More People in Ethiopia"", All Africa 8/3-09, ""ONLF Claims Victory Over Fighting in Ethiopia"", BBC Monitoring Africa 10/3-09, ""Ethiopia masses troops along Somalia border after rebel attacks""; Garoweonline.com in English 9 Mar 09, BBC Monitoring Africa 10/3-09, ""At least 25 said killed in Ethiopia as government army, Somali rebels clash"", Garoweonline.com in English 8 Mar 09",,,,,1,Mustahil town,Somali state,Gode zone,5.24361,44.73194,POINT (44.731940 5.243610),137250,Ethiopia,530,ETH,Africa,1,2,2009-03-06,2009-03-07,25,0,0,0,25,25,25
32743,2006,1,2006,2006,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,BBC Monitoring Africa 6/5-06: Ethiopian opposition radio Voice of Oromo Liberation audio website on 3 May,,,,OLA southern zonal commander,2,Moyale woreda,Oromiya state,Borana zone,3.874545,39.216166,POINT (39.216166 3.874545),135079,Ethiopia,530,ETH,Africa,1,2,2006-04-11,2006-04-12,0,0,0,0,0,0,2
35039,2009,1,2009,2009,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 20/2-09, ""Ethiopian rebel group claims killing 140 government forces in southeast""; Ogaden National Liberation Front website, in English 20 Feb 09",,,,ONLF,2,Fik town,Somali state,Fiq zone,8.13333,42.3,POINT (42.300000 8.133330),141565,Ethiopia,530,ETH,Africa,1,2,2009-02-16,2009-02-20,0,14,0,0,14,14,85
34670,2010,1,2010,2010,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"O.N.L.F Military Communique' 21/9-10, at http://www.ogadennet.com/english/news.php?readmore=178",,,,ONLF,2,Shebelle,Somali state,Jijiga zone,9.26111,42.66444,POINT (42.664440 9.261110),143006,Ethiopia,530,ETH,Africa,1,2,2010-09-19,2010-09-21,0,0,0,0,0,0,26
35018,2010,1,2010,2010,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"O.N.L.F Military Communique' 21/9-10, at http://www.ogadennet.com/english/news.php?readmore=178",,,,ONLF,3,Fiq zone,Somali state,Fiq zone,8.13333,42.3,POINT (42.300000 8.133330),141565,Ethiopia,530,ETH,Africa,1,2,2010-09-19,2010-09-21,0,0,0,0,0,0,26
35040,2010,1,2010,2010,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"O.N.L.F Military Communique' 21/9-10, at http://www.ogadennet.com/english/news.php?readmore=178",,,,ONLF,3,Korahe zone,Somali state,Korahe zone,6.74,44.27806,POINT (44.278060 6.740000),139409,Ethiopia,530,ETH,Africa,1,2,2010-09-19,2010-09-21,0,0,0,0,0,0,26
35061,2010,1,2010,2010,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"O.N.L.F Military Communique' 21/9-10, at http://www.ogadennet.com/english/news.php?readmore=178",,,,ONLF,3,Shinile zone,Somali state,Shinile zone,10.17097,41.83748,POINT (41.837480 10.170970),144444,Ethiopia,530,ETH,Africa,1,2,2010-09-19,2010-09-21,0,0,0,0,0,0,26
35734,2006,1,2006,2006,2,4670,Majerteen subclan (Darod) - Marehan subclan of Sede clan (Darod),5280,Majerteen subclan (Darod) - Marehan subclan of Sede clan (Darod),711,,Majerteen subclan (Darod),644,,Marehan subclan of Sede clan (Darod),-1,"Reuters 16/2-06, AFP 16/2-06, AFP 19/2-06, Peace Bulletin, A Newsletter of Intermediate Technology Development Group - Eastern Africa, Issue No. 9 April 2006",,,,"Kinsmen of the deceased, Somalian officials, Mohamoud Omar, a truck-owner who witnessed the clashes",3,Warder zone,Somali state,Warder zone,7.5,46.0,POINT (46.000000 7.500000),140853,Ethiopia,530,ETH,Africa,1,2,2006-02-15,2006-02-17,0,0,0,100,100,100,100
35323,2002,1,2002,2002,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,"BBC Monitoring Africa - Political 27/6-02; Voice of Oromo Liberation audio web site in English 25 Jun 02: ""Oromo rebels claim killing 425 soldiers in separate battles",,,,,2,Abobo town,Gambella state,Administrative zone 2,7.85,34.55,POINT (34.550000 7.850000),140830,Ethiopia,530,ETH,Africa,1,2,2002-06-22,2002-06-23,0,0,0,0,0,0,87
35495,2003,1,2003,2003,3,474,Government of Ethiopia - Civilians,941,Government of Ethiopia - Civilians,97,530.0,Government of Ethiopia,1,,Civilians,-1,"HRW: ""Targeting the Anuak, 18",,,,,1,Gambella town,Gambella state,Administrative zone 1,8.25,34.583333,POINT (34.583333 8.250000),141550,Ethiopia,530,ETH,Africa,1,2,2003-12-13,2003-12-15,0,0,424,0,424,424,424
